ID,Is_Lead
VBENBARO,0.065861724
CCMEWNKY,0.8674552
VK3KGA9M,0.052911725
TT8RPZVC,0.026120856
SHQZEYTZ,0.02413058
MZZAQMPT,0.10148511
Y88TW36I,0.07292645
3UGOAQNU,0.051986627
VVUKMUJT,0.99528354
9R363ZXS,0.18058862
BLISM6JE,0.05345671
CH8S7JK7,0.22420582
EAHDPXEJ,0.8612221
BNUK9PRF,0.28481683
GP2PG6FJ,0.054167233
WNQCSN8A,0.033817206
32DN4YVZ,0.45386603
GXAMDANM,0.05095606
MXETLUP4,0.053921625
MPXK6TVE,0.81842667
LBSIME2K,0.14542784
D6ORJTM6,0.05046699
HGDIBAKA,0.82580125
UUZYL9DZ,0.52561724
AUGE3VWK,0.050420757
MX7GOX6Q,0.09660477
TQN6K35W,0.059625123
QQDRMQQN,0.4663704
UP6GC6F4,0.038773455
BMHBUVHB,0.59465027
KGLDW86A,0.18315296
FQEOMOP4,0.1193546
DYWM5MEU,0.20200364
DXHGXV8F,0.061928757
AVFBFQKC,0.20309453
DBIDKYMV,0.14062406
KYZHMEBY,0.22527209
SSFEBUGF,0.054126948
MGJTAG8X,0.44061545
MP6BERDO,0.14071968
GXZ8ED68,0.056728452
ICTFGWQR,0.50703114
EAYHTRKH,0.02562983
6FN97QLQ,0.096890956
3H5MZDDW,0.31553614
2DXZZWSN,0.04227985
MM4QIRE5,0.087472275
HJWVYXUA,0.1995808
RBRSJUP3,0.8282577
YFRQKGXW,0.40439233
N3SADEBV,0.048479263
G2A2YYXY,0.030599855
XMGA3WT3,0.06504374
KVZQPSGI,0.20362847
UAKARBBG,0.035354298
WYKKL85Z,0.2488865
GHNYYGRR,0.09669213
UBAJANWT,0.05249072
LSARSF7U,0.024010628
4CNSJVVR,0.2687397
JRHJSWYO,0.4121718
FHZ8SVVI,0.07213649
JUIRE47M,0.86198556
GDIVN2GL,0.06511776
WMF3DYE3,0.7930185
MAQEHEWK,0.20029216
2W8DLKFU,0.0519541
AKGRML6H,0.10034012
B7WUUGCY,0.053923815
TLJOYATM,0.45763564
UH6ZDM3W,0.87562823
7IP5SSRR,0.6650766
PV85PMEB,0.46805567
FGDOY4NI,0.14573176
7YYIXJQE,0.07033209
BHW42XPW,0.059140194
3PKEEAT4,0.27630174
ACFPZ3LM,0.057150867
6GORGNYN,0.8573336
AEPQTMJK,0.22359528
S6FNZFKK,0.048819847
JTYNEKRQ,0.57619154
GPXDPHHC,0.05687306
O8TMKNNB,0.056897797
XSQVHKYG,0.056550372
MJ3CZRAE,0.024513291
3NSQEYBJ,0.46459746
SXVBASGH,0.053232733
5ZIGZYSS,0.039821066
FQSHBCUT,0.3488148
MU45XUBP,0.05246479
BVULDPBI,0.07163509
82GRNPFG,0.8170046
KKBNELBF,0.03535654
HXQGBDGY,0.04983624
28HDZICG,0.5661074
GHBPKPJC,0.050994642
FDWZFSSC,0.8304546
FWTIWZF3,0.05026125
JYMHVPMY,0.028542234
AHUDO2T6,0.81541693
ACDHABS3,0.23511748
5NTYJJDV,0.07091672
2M4VPY4V,0.09319271
KAHP9XLF,0.07712357
YRLEWZFQ,0.1017227
JZWVLXHJ,0.18249282
JZZSXUKT,0.23611332
93RURE2J,0.8797423
4RNB6FDV,0.23825747
27E7HMMG,0.100146756
2QEFQQWN,0.050200757
DDTCD2XI,0.09651062
VGVEYSEG,0.7885159
WCXVE7RK,0.04795991
RTN4R3UE,0.03942937
K2PVS4RB,0.05350167
Q36J686Z,0.08982951
NWKHMEOF,0.14864916
PVJYQQGT,0.25781855
GPUMRNWC,0.048348278
LXHCDSVH,0.19257031
BNIUPSVK,0.078936234
FW3QI3WW,0.076616675
IEEUGXMY,0.86143684
FVVXDLBO,0.054895513
UC2JJB6Y,0.08171038
3WPAHP52,0.4994502
HDTCJJOE,0.5613527
UCSB9GKK,0.071105346
HANBFYTH,0.09575672
FLUU2HNV,0.053527873
64PIYWDJ,0.21245709
9AHNH8ZX,0.84264755
KLHUI2SE,0.09556586
YRHYUJFW,0.8511108
G5RWWH7F,0.12855016
SCBT9BAX,0.022539236
UGZGLVNB,0.2698621
2RRNUFBV,0.8616239
B6O59TEY,0.5032641
CYHRRYH6,0.053332735
GGYZVHWU,0.08681202
K6AM97RN,0.06296017
ATM5JQYM,0.07295945
7GYZSGWA,0.051866017
DFWUDQCR,0.16988674
E2Z98CR3,0.8330677
GD9KTSLY,0.051542558
2AMRA4OD,0.09539606
CFHZ3ZE6,0.37180316
BOMLVM5K,0.051077433
OBBEGBSY,0.50308573
FJEHOK8W,0.032016914
3GMAEVPJ,0.10067213
WAVDLUTH,0.055011462
6EN8GZX6,0.10601698
VXGA3GKB,0.18557861
U4MZ3U8C,0.476508
GU4RDP8S,0.86666775
N3TPNHCD,0.092389524
JRRHWQC8,0.6906036
NZ5GBHZK,0.039798986
LCUC2LAJ,0.81699044
DJDSU9D2,0.9527176
647K6DBR,0.056679457
7NFXVESK,0.082135886
EWUWF25N,0.05055033
7QKYPLA8,0.05621785
XQVXWBNO,0.05823754
CNWH4MVA,0.053124964
AFJUJFQD,0.09299939
QKMFDX9H,0.19228
YYMB5QBY,0.0753874
IRY3SEX7,0.31415096
CUAUZJH8,0.1995653
JYFUYQF5,0.34744838
I4NYEDFE,0.49906132
M3RSPRGQ,0.1806321
JIL3KWQN,0.11635011
X4B5ZBWU,0.17546669
AHYTHHSE,0.052955773
E7EHQEQK,0.39519617
FAMHAVN3,0.85099316
CCGKCTR6,0.06250415
6DTSELRV,0.0502543
LU8X3G6O,0.23090804
NPFDAUJY,0.050783608
DR9PXCFU,0.024213942
SHVZMWBV,0.060319614
8TGXGZHX,0.20205797
IKRSHJFW,0.18461736
TYKRZDCP,0.4682833
9IDA3L7P,0.08561018
ASOWCMDB,0.05560832
KZ5J2JGC,0.8457682
D5UCFKTV,0.052125305
2N8FFP7W,0.039663434
SA36MTFS,0.033602953
8UDMURUH,0.10016295
7VSQV6QN,0.14164364
IFUG9NC5,0.05079807
EQXDLQRG,0.17148937
JAR8YY9J,0.07355502
BS4TAF6M,0.063603565
WQJ9SPT9,0.7612427
7QHT4ON2,0.054250404
FNGPQN7B,0.1433113
DDOMDZRU,0.6013657
QYR9HXHP,0.2422963
S4NGXFXY,0.022917949
NOJ2KSCC,0.7925754
ZD2JRUNB,0.4408851
GZIPTSNN,0.051492836
LCFYUVE9,0.83408946
PPANVU9W,0.051251117
DRPV9STB,0.08201872
AFSPF3WZ,0.991863
GPXEUNND,0.74106485
NSADMDSM,0.056509163
CKWJU8RQ,0.48975855
F7MNZSSU,0.051827658
BDGVMPZY,0.55719954
IA3MSRTR,0.09164421
JD3WTPMG,0.3214521
QT6DF6EW,0.8339361
NVDEMCZ2,0.05334788
9B6UTJVT,0.060512174
U6QYES9J,0.02118674
DZQPDSPS,0.19579338
CRGXVSBF,0.8908096
XIHJYS2V,0.54214734
7X2MC5GZ,0.8272107
ZBDVXTM5,0.051973376
UUBQPBR5,0.07149771
CUMZFBTD,0.06264837
E7QXYSQN,0.023353936
6UQAJP48,0.07194671
QHWB768Y,0.05567591
R6RXMXOJ,0.18390456
WXQGZG5K,0.03419123
GCUFKLHG,0.052295145
SJX4372M,0.051428013
VGEAMUZZ,0.096483864
ZWDXVKDF,0.88252944
WGMRCYLR,0.051542558
SI43K5CY,0.088092744
DSNBS2RS,0.18652171
XIMZCKSR,0.42652375
VEW9FXHT,0.021391949
JZJHDDDJ,0.45909145
4TYUR5HA,0.4995931
UHCDFDRX,0.1627158
E5QMOFUM,0.09919132
PSNVWDZH,0.05230791
5IQSWONG,0.05297695
CEAZEPY4,0.9961421
2TNRJXRX,0.026487444
BFROCARA,0.05187184
GRTJMRKM,0.02049422
6EDAM4EU,0.087124035
NRDB58KL,0.053615317
TCPJCWZR,0.04598949
KG8LD2BE,0.044348802
FHZ3XFDV,0.11118126
NZKCSDZ4,0.22920139
6DG6KJG4,0.057749372
BVPKDUNU,0.2855434
APR4PQ6X,0.059283577
HPWS8YFG,0.102440655
VRPBGTPU,0.050187875
XBCSX7G7,0.049482014
KEH3G8UA,0.15614866
WXNAVFLT,0.05836895
8J8NJ7M6,0.10402214
D4UW7Y85,0.057683412
SZRESXN7,0.050761204
UUQSXK5T,0.053129632
GPMUKOVY,0.37512875
6FYOKAZ5,0.18706451
ENUB4N9S,0.18519057
KERBCSGE,0.9962463
7HTA4C6J,0.8296392
4BTVMT6W,0.045311205
MR3J9USD,0.2829518
7S83FNQW,0.5700109
MSOKLC7S,0.026892986
GFMNATHU,0.034069773
NG4ABA6H,0.96776265
3GFHRAQY,0.31773034
BCSGZZPE,0.13982362
PQ9MCGZC,0.07795807
K7N596CG,0.05279785
8RUL6JEE,0.056499682
CVOFJRMP,0.04859394
B4FQX4HG,0.06322202
W7HAQKDV,0.056457013
8C5PKJ7G,0.05301127
